X_11_0,X_21_0,X_12_0,X_22_0,X_13_0,X_23_0,X_14_0,X_24_0,X_15_0,X_25_0
-3.176989811,25.47659895,-9.822207805,16.9233675,16.22194553,11.34755654,19.82501876,20.25501975,25.07382585,25.55626579
-3.301746366,24.55812349,-10.35862005,17.06962732,15.09948477,12.53031113,19.86122209,20.40846522,25.80721385,24.00806539
-2.745998343,25.01281661,-10.90800883,17.47924741,15.07140127,12.64361305,20.42890357,19.75259559,24.91512089,25.55377708
-2.687542466,25.20453431,-10.03265021,16.01546753,14.47416881,12.049591,19.76026035,19.75504383,25.00604332,24.3512676
-2.713512727,25.26066898,-9.238635167,17.11064976,15.47279096,11.91013362,19.73580977,20.16676321,25.63750371,25.4411558
-2.583291952,26.14318716,-10.38622364,17.04934392,14.51899324,12.50078064,19.24828751,20.43626579,23.96124249,25.80884044
-2.812264708,24.48146123,-9.88471083,17.60043766,15.73550086,12.46852185,19.54103373,19.72404112,24.52157207,25.14183618
-3.613613284,24.95383125,-9.820360831,17.3135405,13.60171022,11.72131481,20.19971836,19.72417178,25.0555531,24.44769505
-3.104606114,24.54121664,-10.03802965,16.85575683,15.45042358,12.66041419,20.85510145,20.23411624,25.4183773,24.86378177
-3.464698472,25.0197536,-9.950608871,16.91259219,15.06100584,12.22251138,20.14500511,20.49975978,24.76207079,24.90019201
-4.172629255,24.96573148,-10.29284426,16.80930231,14.60858712,11.49408423,19.89228675,20.07349771,24.94504278,25.21457028
-3.395055003,25.73418767,-9.236891901,16.67510236,15.45023866,11.65187491,20.22614283,20.62502421,25.82077897,25.46322516
-2.073810541,25.10216189,-10.46999802,16.63176106,14.43061628,11.7843592,19.9066594,19.83362019,24.62531275,24.56256883
-2.416500388,25.78317776,-10.2537852,17.08072804,14.44221242,11.97165016,20.19096657,19.76387508,24.49055818,25.11335739
-3.437413166,24.36421738,-9.755152754,17.08799958,14.85563964,13.06507025,20.45887219,19.12580957,25.43554666,25.26075444
-2.210247312,24.88947886,-10.14805144,16.86314854,15.6080665,12.16673668,20.02965004,20.90317812,25.15492828,25.00849801
-3.065894266,24.94788834,-10.32755206,16.19042764,14.62110663,11.98555773,20.39878088,20.11981383,25.00706658,24.23183772
-2.717233907,24.95421935,-9.007728204,15.66510876,14.41051427,12.4513948,19.76424339,18.98840552,24.81908641,24.88021498
-3.428404921,25.91916105,-11.24189344,16.70958418,14.9072147,12.05459944,20.05024785,20.09585584,24.96293714,24.6808575
-3.033177754,24.57285963,-9.765130949,16.63972744,14.78414748,11.91300545,20.13393138,20.25565622,24.6086278,24.92949538
